Player,Team,Type,M,Inn,NO,Runs,HS,Avg,BF,SR,4s,6s,50,100,200
Gary Wilson,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Lorcan Tucker,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter Chase,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
George Dockrell,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Murtagh,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Adair,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy McBrine,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Barry McCarthy,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Boyd Rankin,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Fakhar Zaman,Pakistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Imam-ul-Haq,Pakistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Babar Azam,Pakistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Asif Ali,Pakistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Haris Sohail,Pakistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohammad Hafeez,Pakistan,IPL,8,8,1,64,16,9.14,83,77.11,7,2,0,0,0
Shoaib Malik,Pakistan,IPL,7,5,1,52,24,13,47,110.64,5,0,0,0,0
Shadab Khan,Pakistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Imad Wasim,Pakistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarfaraz Ahmed,Pakistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Wahab Riaz,Pakistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Hasan Ali,Pakistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohammad Hasnain,Pakistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohammad Amir,Pakistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Finch,Australia,IPL,87,85,6,2005,88,25.38,1570,127.71,204,75,14,0,0
Steven Smith,Australia,IPL,95,86,20,2333,101,35.35,1805,129.25,212,58,11,1,0
David Warner,Australia,IPL,142,142,19,5254,126,42.72,3712,141.54,511,194,48,4,0
Joe Burns,Australia,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Will Pucovski,Australia,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Glenn Maxwell,Australia,IPL,82,79,11,1505,95,22.13,973,154.68,118,91,6,0,0
Marcus Stoinis,Australia,IPL,46,42,13,825,65,28.45,601,137.27,65,34,4,0,0
Moises Henriques,Australia,IPL,57,50,16,969,74,28.5,756,128.17,87,27,5,0,0
Marnus Labuschagne,Australia,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Travis Head,Australia,IPL,10,10,3,205,75,29.29,148,138.51,12,8,1,0,0
Michael Neser,Australia,IPL,1,0,0,0,0,0,0,0,0,0,0,0,0
Ashton Agar,Australia,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron Green,Australia,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Sams,Australia,IPL,3,1,0,0,0,0,2,0,0,0,0,0,0
Alex Carey,Australia,IPL,3,3,1,32,14,16,29,110.34,0,1,0,0,0
Matthew Wade,Australia,IPL,3,3,0,22,11,7.33,33,66.67,0,0,0,0,0
Tim Paine,Australia,IPL,2,2,0,10,8,5,26,38.46,0,0,0,0,0
Pat Cummins,Australia,IPL,30,21,8,223,53,17.15,169,131.95,14,12,1,0,0
Nathan Lyon,Australia,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitchell Starc,Australia,IPL,27,12,5,96,29,13.71,98,97.96,10,0,0,0,0
Adam Zampa,Australia,IPL,14,2,0,5,5,2.5,8,62.5,1,0,0,0,0
Sean Abbott,Australia,IPL,2,2,0,15,14,7.5,13,115.38,1,1,0,0,0
Josh Hazlewood,Australia,IPL,3,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Tye,Australia,IPL,27,13,4,91,25,10.11,76,119.74,6,5,0,0,0
James Pattinson,Australia,IPL,10,2,1,15,11,15,13,115.38,2,0,0,0,0
Mitchell Swepson,Australia,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Lahiru Thirimanne,Sri-Lanka,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Dimuth Karunaratne,Sri-Lanka,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Avishka Fernando,Sri-Lanka,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Kusal Mendis,Sri-Lanka,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Angelo Mathews,Sri-Lanka,IPL,49,42,11,724,65,23.35,575,125.91,44,29,1,0,0
Dhananjaya de Silva,Sri-Lanka,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Milinda Siriwardana,Sri-Lanka,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
