Player,Team,Type,M,Inn,B,Runs,Wkts,BBI,BBM,Econ,Avg,SR,5W,10W
William Porterfield,Ireland,Test,3,0,0,0,0,0,0,0,0,0,0,0
James McCollum,Ireland,Test,2,0,0,0,0,0,0,0,0,0,0,0
Andrew Balbirnie,Ireland,Test,3,1,6,8,0,0/8,0/8,8,0,0,0,0
Tyrone Kane,Ireland,Test,1,2,156,103,0,0/17,0/103,3.96,0,0,0,0
Kevin O Brien,Ireland,Test,3,2,60,31,0,0/11,0/11,3.1,0,0,0,0
Paul Stirling,Ireland,Test,3,1,12,11,0,0/11,0/11,5.5,0,0,0,0
Stuart Thompson,Ireland,Test,3,6,410,204,10,Mar-28,Apr-93,2.99,20.4,41,0,0
Gary Wilson,Ireland,Test,2,0,0,0,0,0,0,0,0,0,0,0
Lorcan Tucker,Ireland,Test,0,0,0,0,0,0,0,0,0,0,0,0
Peter Chase,Ireland,Test,0,0,0,0,0,0,0,0,0,0,0,0
George Dockrell,Ireland,Test,1,2,240,121,2,Feb-63,2/121,3.02,60.5,120,0,0
Tim Murtagh,Ireland,Test,3,6,570,213,13,May-13,Jun-65,2.24,16.38,43.85,1,0
Mark Adair,Ireland,Test,1,2,166,98,6,Mar-32,Jun-98,3.54,16.33,27.67,0,0
Andy McBrine,Ireland,Test,2,3,300,159,3,Feb-77,3/112,3.18,53,100,0,0
Barry McCarthy,Ireland,Test,0,0,0,0,0,0,0,0,0,0,0,0
Boyd Rankin,Ireland,Test,3,6,443,304,8,02-May,Apr-91,4.12,38,55.38,0,0
Fakhar Zaman,Pakistan,Test,3,0,0,0,0,0,0,0,0,0,0,0
Imam-ul-Haq,Pakistan,Test,11,0,0,0,0,0,0,0,0,0,0,0
Babar Azam,Pakistan,Test,29,0,0,0,0,0,0,0,0,0,0,0
Asif Ali,Pakistan,Test,0,0,0,0,0,0,0,0,0,0,0,0
Haris Sohail,Pakistan,Test,16,17,630,294,13,03-Jan,Mar-35,2.8,22.62,48.46,0,0
Mohammad Hafeez,Pakistan,Test,55,77,4067,1808,53,Apr-16,Apr-48,2.67,34.11,76.74,0,0
Shadab Khan,Pakistan,Test,6,11,954,513,14,Mar-31,Apr-80,3.23,36.64,68.14,0,0
Imad Wasim,Pakistan,Test,0,0,0,0,0,0,0,0,0,0,0,0
Sarfaraz Ahmed,Pakistan,Test,49,0,0,0,0,0,0,0,0,0,0,0
Wahab Riaz,Pakistan,Test,27,49,5018,2864,83,May-63,7/134,3.42,34.51,60.46,2,0
Shaheen Afridi,Pakistan,Test,13,19,2565,1354,41,May-77,6/128,3.17,33.02,62.56,1,0
Hasan Ali,Pakistan,Test,9,17,1737,896,31,May-45,Jul-83,3.09,28.9,56.03,1,0
Mohammad Hasnain,Pakistan,Test,0,0,0,0,0,0,0,0,0,0,0,0
Mohammad Amir,Pakistan,Test,36,67,7619,3627,119,Jun-44,Jul-64,2.86,30.48,64.03,4,0
Aaron Finch,Australia,Test,5,1,12,8,0,0/8,0/8,4,0,0,0,0
Steven Smith,Australia,Test,76,54,1381,960,17,Mar-18,Apr-83,4.17,56.47,81.24,0,0
David Warner,Australia,Test,85,19,342,269,4,Feb-45,Feb-45,4.72,67.25,85.5,0,0
Joe Burns,Australia,Test,23,0,0,0,0,0,0,0,0,0,0,0
Will Pucovski,Australia,Test,1,0,0,0,0,0,0,0,0,0,0,0
Glenn Maxwell,Australia,Test,7,9,462,341,8,4/127,4/127,4.43,42.62,57.75,0,0
Marcus Stoinis,Australia,Test,0,0,0,0,0,0,0,0,0,0,0,0
Moises Henriques,Australia,Test,4,4,330,164,2,Jan-48,Jan-48,2.98,82,165,0,0
Marnus Labuschagne,Australia,Test,17,24,810,496,12,Mar-45,5/119,3.67,41.33,67.5,0,0
Travis Head,Australia,Test,19,9,126,76,0,0/0,0/0,3.62,0,0,0,0
Michael Neser,Australia,Test,0,0,0,0,0,0,0,0,0,0,0,0
Ashton Agar,Australia,Test,4,8,874,410,9,Mar-46,5/101,2.81,45.56,97.11,0,0
Cameron Green,Australia,Test,3,4,198,88,0,0/11,0/15,2.67,0,0,0,0
Daniel Sams,Australia,Test,0,0,0,0,0,0,0,0,0,0,0,0
Alex Carey,Australia,Test,0,0,0,0,0,0,0,0,0,0,0,0
Matthew Wade,Australia,Test,35,4,30,28,0,0/0,0/0,5.6,0,0,0,0
Tim Paine,Australia,Test,34,0,0,0,0,0,0,0,0,0,0,0
Pat Cummins,Australia,Test,33,63,7428,3393,158,Jun-23,Oct-62,2.74,21.47,47.01,5,1
Nathan Lyon,Australia,Test,99,189,25336,12666,396,Aug-50,13/154,3,31.98,63.98,18,3
Mitchell Starc,Australia,Test,60,115,12341,6868,253,Jun-50,Nov-94,3.34,27.15,48.78,13,2
Adam Zampa,Australia,Test,0,0,0,0,0,0,0,0,0,0,0,0
Sean Abbott,Australia,Test,0,0,0,0,0,0,0,0,0,0,0,0
Josh Hazlewood,Australia,Test,54,101,11607,5307,206,Jun-67,9/115,2.74,25.76,56.34,8,0
Andrew Tye,Australia,Test,0,0,0,0,0,0,0,0,0,0,0,0
James Pattinson,Australia,Test,21,38,3963,2133,81,May-27,8/105,3.23,26.33,48.93,4,0
Mitchell Swepson,Australia,Test,0,0,0,0,0,0,0,0,0,0,0,0
Lahiru Thirimanne,Sri-Lanka,Test,36,5,84,51,0,0/5,0/5,3.64,0,0,0,0
Dimuth Karunaratne,Sri-Lanka,Test,68,12,278,185,2,01-Dec,01-Dec,3.99,92.5,139,0,0
Avishka Fernando,Sri-Lanka,Test,0,0,0,0,0,0,0,0,0,0,0,0
Kusal Mendis,Sri-Lanka,Test,46,8,126,110,1,01-Oct,Jan-18,5.24,110,126,0,0
Angelo Mathews,Sri-Lanka,Test,86,81,3876,1745,33,Apr-44,Apr-60,2.7,52.88,117.45,0,0
Dhananjaya de Silva,Sri-Lanka,Test,32,45,1957,1091,21,Mar-25,May-51,3.34,51.95,93.19,0,0
Milinda Siriwardana,Sri-Lanka,Test,5,9,413,257,11,Mar-25,May-51,3.73,23.36,37.55,0,0
Thisara Perera,Sri-Lanka,Test,6,8,954,653,11,Apr-63,4/151,4.11,59.36,86.73,0,0
Isuru Udana,Sri-Lanka,Test,0,0,0,0,0,0,0,0,0,0,0,0
Jeevan Mendis,Sri-Lanka,Test,0,0,0,0,0,0,0,0,0,0,0,0
Kusal Perera,Sri-Lanka,Test,20,0,0,0,0,0,0,0,0,0,0,0
Suranga Lakmal,Sri-Lanka,Test,61,108,11093,5648,151,May-54,Jul-80,3.05,37.4,73.46,3,0
Lasith Malinga,Sri-Lanka,Test,30,59,5209,3349,101,May-50,9/210,3.86,33.16,51.57,3,0
Jeffrey Vandersay,Sri-Lanka,Test,0,0,0,0,0,0,0,0,0,0,0,0
Nuwan Pradeep,Sri-Lanka,Test,28,53,5077,3003,70,6/132,7/180,3.55,42.9,72.53,1,0
Tamim Iqbal,Bangladesh,Test,60,5,30,20,0,0/1,0/1,4,0,0,0,0
